asset_id,claim_axis,final_score,source_url_1,source_url_2,audit_note
A08,K2,2,https://open.alberta.ca/publications/quest-carbon-capture-and-storage-project-annual-report-2023,https://www.shell.ca/en_ca/about-us/projects-and-sites/quest-carbon-capture-and-storage-project.html,Observed annual injection total reported.
A08,K3,2,https://www.sciencedirect.com/science/article/abs/pii/S1750583622000834,https://csegrecorder.com/articles/view/using-a-walk-away-das-time-lapse-vsp-for-co2-sub-plume-monitoring,"Time-lapse borehole seismic observations quantify plume dimensions, model consistency and sensitivity."
A08,K4,2,https://www.sciencedirect.com/science/article/abs/pii/S1750583622000834,https://csegrecorder.com/articles/view/using-a-walk-away-das-time-lapse-vsp-for-co2-sub-plume-monitoring,No time-lapse signal outside storage reservoir; method resolution/sensitivity quantified.
A09,K2,2,https://www.dmr.nd.gov/dmr/sites/default/files/documents/Oil-and-Gas/ClassVI/CO2Reporting/WebsiteCO2VolumeReportingRedTrail.pdf,https://undeerc.org/research/projects/richardtonccs.html,Observed injection volumes and cumulative stored mass reported.
A09,K3,1,https://undeerc.org/research/projects/richardtonccs.html,https://gevonorthdakota.gevo.com/fccp-about-20585,Monitoring/operational performance described; no qualifying observed quantitative comparison with uncertainty.
A09,K4,1,https://undeerc.org/research/projects/richardtonccs.html,https://gevonorthdakota.gevo.com/fccp-about-20585,Containment controls described; no qualifying observed geological-pathway result with sensitivity.
A10,K2,2,https://www.energymining.sa.gov.au/__data/assets/pdf_file/0004/1167385/Moomba-CCS-project-Strzelecki-and-Marabooka-Monitoring-and-Verification-Activities-Report-31-January-2025.pdf,https://www.energymining.sa.gov.au/__data/assets/pdf_file/0020/1192223/250930_Moomba-CCS-M-and-V-Interim-Report.pdf,Observed monthly/cumulative injection with stated metering uncertainty.
A10,K3,2,https://www.energymining.sa.gov.au/__data/assets/pdf_file/0020/1192223/250930_Moomba-CCS-M-and-V-Interim-Report.pdf,https://www.energymining.sa.gov.au/__data/assets/pdf_file/0004/1167385/Moomba-CCS-project-Strzelecki-and-Marabooka-Monitoring-and-Verification-Activities-Report-31-January-2025.pdf,"Observed pressure, injectivity and seismic response compared with expectations; thresholds documented."
A10,K4,2,https://www.energymining.sa.gov.au/__data/assets/pdf_file/0020/1192223/250930_Moomba-CCS-M-and-V-Interim-Report.pdf,https://www.energymining.sa.gov.au/__data/assets/pdf_file/0004/1167385/Moomba-CCS-project-Strzelecki-and-Marabooka-Monitoring-and-Verification-Activities-Report-31-January-2025.pdf,Reports test containment/induced-seismicity pathways; observed events located below storage and thresholds stated.
A11,K2,3,https://factpages.sodir.no/en/storage/tableview/injection,https://www.equinor.com/news/archive/2019-06-12-sleipner-co2-storage-data,Official well/month/year injection records are exportable for reanalysis.
A11,K3,3,https://co2datashare.org/dataset/sleipner-4d-seismic-dataset,https://co2datashare.org/dataset/sleipner-2019-benchmark-model,Open repeated seismic surveys and benchmark model support independent reanalysis.
A11,K4,3,https://nora.nerc.ac.uk/id/eprint/509240/,https://co2datashare.org/dataset/sleipner-4d-seismic-dataset,Open seismic data plus quantitative leakage-detectability analysis support reanalysis of containment claims.
A12,K2,2,https://www.sodir.no/en/whats-new/publications/co2-atlases/co2-atlas-for-the-norwegian-continental-shelf/6-the-barents-sea/6.2-storage-options-of-the-barents-sea/6.2.1-saline-aquifers/storage-capacity-snohvit-area/,https://www.equinor.com/news/archive/2008/04/23/CarbonStorageStartedOnSnhvit,Observed injection by storage interval with explicit operating period.
A12,K3,2,https://www.sciencedirect.com/science/article/pii/S1876610213004578,https://www.sodir.no/en/whats-new/publications/co2-atlases/co2-atlas-for-the-norwegian-continental-shelf/6-the-barents-sea/6.2-storage-options-of-the-barents-sea/6.2.1-saline-aquifers/storage-capacity-snohvit-area/,Pressure/history matching and repeated seismic response quantitatively compared; model uncertainty represented.
A12,K4,1,https://www.sodir.no/en/whats-new/publications/co2-atlases/co2-atlas-for-the-norwegian-continental-shelf/6-the-barents-sea/6.2-storage-options-of-the-barents-sea/6.2.1-saline-aquifers/storage-capacity-snohvit-area/,https://www.sciencedirect.com/science/article/pii/S1876610213004578,Pressure-risk management/preventive intervention documented; no qualifying observed pathway-specific result under adjudicated rule.
A13,K2,2,https://www.carbfix.com/carbfix2,https://cordis.europa.eu/project/id/283148/reporting,Ongoing industrial-scale injection amount reported.
A13,K3,3,https://www.nature.com/articles/s41467-019-10003-8,https://cordis.europa.eu/project/id/283148/reporting,Open tracer/geochemical observations and methods allow reanalysis of mineralization response with uncertainty.
A13,K4,3,https://www.nature.com/articles/s41467-019-10003-8,https://cordis.europa.eu/project/id/283148/reporting,Tracer/geochemical data quantitatively constrain mineral trapping and residual mobile carbon with public methods/data.
A14,K2,2,https://ghgdata.epa.gov/ghgp/html/2023.do?et=undefined&id=1013609,https://www.epa.gov/ghgreporting/campo-viejo-gas-processing-plant,Actual annual and cumulative sequestration accounting reported.
A14,K3,1,https://www.epa.gov/ghgreporting/campo-viejo-gas-processing-plant,https://www.beg.utexas.edu/texnet-cisr,Pressure/well/seismic surveillance described; no qualifying observed quantitative model comparison with uncertainty.
A14,K4,1,https://www.epa.gov/ghgreporting/campo-viejo-gas-processing-plant,https://www.stakeholdermidstream.com/news/stakeholder-midstream-receives-milestone-mrv-plan-approval-epa-carbon-capture-and,"No relevant leak/event reported, but no pathway-specific quantitative containment result with explicit detection sensitivity."
A15,K2,2,https://www.businesswire.com/news/home/20240618953332/en/ADDING-MULTIMEDIA-Pion-Midstream-Secures-MRV-Approval-from-the-EPA-for-Carbon-Capture-and-Sequestration-Operations-at-its-Dark-Horse-Treating-Facility,https://www.epa.gov/ghgreporting/dark-horse-treating-plant,Formal operator disclosure reports observed annual/cumulative CO2 mass and period; E1 retained only as conservative ambiguity bound.
A15,K3,1,https://wwwapps.emnrd.nm.gov/OCD/OCDPermitting/SupportingDocuments/APP/APP_339622_1006631.pdf,https://www.epa.gov/ghgreporting/dark-horse-treating-plant,"Observed pressure gradient reported, but no uncertainty/sensitivity for comparison."
A15,K4,1,https://www.epa.gov/ghgreporting/dark-horse-treating-plant,https://wwwapps.emnrd.nm.gov/OCD/OCDPermitting/SupportingDocuments/APP/APP_339622_1006631.pdf,Well integrity/surveillance documented; no qualifying observed geological-pathway result with quantitative LOD/uncertainty.
